date,home_team,score,away_team
27-05-2023,Orlando City SC,1 - 1,Atlanta United FC
03-06-2023,New York Red Bulls,0 - 3,Orlando City SC
10-06-2023,Orlando City SC,2 - 0,Colorado Rapids
17-06-2023,New England Revolution,3 - 1,Orlando City SC
21-06-2023,Orlando City SC,2 - 2,Philadelphia Union
25-06-2023,Seattle Sounders FC,0 - 0,Orlando City SC
01-07-2023,Orlando City SC,3 - 1,Chicago Fire
04-07-2023,Orlando City SC,? - ?,Toronto FC
26-02-2023,Philadelphia Union,4 - 1,Columbus Crew
05-03-2023,Club Internacional de Fútbol Miami,2 - 0,Philadelphia Union
12-03-2023,Philadelphia Union,1 - 0,Chicago Fire
18-03-2023,Montreal Impact,3 - 2,Philadelphia Union
25-03-2023,Philadelphia Union,1 - 2,Orlando City SC
01-04-2023,Philadelphia Union,0 - 0,Sporting Kansas City
08-04-2023,FC Cincinnati,1 - 0,Philadelphia Union
16-04-2023,Chicago Fire,2 - 2,Philadelphia Union
22-04-2023,Philadelphia Union,4 - 2,Toronto FC
06-05-2023,New York Red Bulls,0 - 1,Philadelphia Union
14-05-2023,Colorado Rapids,1 - 2,Philadelphia Union
17-05-2023,Philadelphia Union,0 - 0,DC United
20-05-2023,Philadelphia Union,3 - 0,New England Revolution
27-05-2023,New York City FC,1 - 3,Philadelphia Union
31-05-2023,Philadelphia Union,1 - 0,Charlotte
03-06-2023,Philadelphia Union,3 - 0,Montreal Impact
11-06-2023,San Jose Earthquakes,2 - 1,Philadelphia Union
21-06-2023,Orlando City SC,2 - 2,Philadelphia Union
24-06-2023,Philadelphia Union,4 - 1,Club Internacional de Fútbol Miami
02-07-2023,Atlanta United FC,? - ?,Philadelphia Union
28-02-2023,Portland Timbers,1 - 0,Sporting Kansas City
04-03-2023,Los Angeles FC,3 - 2,Portland Timbers
12-03-2023,Portland Timbers,1 - 2,St. Louis City
18-03-2023,Atlanta United FC,5 - 1,Portland Timbers
25-03-2023,Portland Timbers,0 - 0,LA Galaxy
02-04-2023,FC Dallas,1 - 1,Portland Timbers
09-04-2023,Vancouver Whitecaps,1 - 0,Portland Timbers
16-04-2023,Portland Timbers,4 - 1,Seattle Sounders FC
22-04-2023,FC Cincinnati,2 - 1,Portland Timbers
30-04-2023,St. Louis City,1 - 2,Portland Timbers
07-05-2023,Portland Timbers,2 - 2,Austin
14-05-2023,Portland Timbers,3 - 1,Vancouver Whitecaps
18-05-2023,Real Salt Lake,0 - 0,Portland Timbers
21-05-2023,Portland Timbers,0 - 1,Minnesota Utd
28-05-2023,Sporting Kansas City,4 - 1,Portland Timbers
03-06-2023,Seattle Sounders FC,0 - 0,Portland Timbers
12-06-2023,Portland Timbers,1 - 0,FC Dallas
18-06-2023,San Jose Earthquakes,0 - 0,Portland Timbers
22-06-2023,Portland Timbers,1 - 2,Chicago Fire
25-06-2023,Portland Timbers,1 - 1,New York City FC
02-07-2023,Minnesota Utd,4 - 1,Portland Timbers
02-07-2023,Minnesota Utd,? - ?,Portland Timbers
26-02-2023,Vancouver Whitecaps,1 - 2,Real Salt Lake
05-03-2023,Seattle Sounders FC,2 - 0,Real Salt Lake
12-03-2023,Real Salt Lake,1 - 2,Austin
26-03-2023,Real Salt Lake,0 - 4,St. Louis City
01-04-2023,Columbus Crew,4 - 0,Real Salt Lake
09-04-2023,Real Salt Lake,3 - 1,Charlotte
16-04-2023,FC Dallas,2 - 1,Real Salt Lake
23-04-2023,Real Salt Lake,3 - 1,San Jose Earthquakes
30-04-2023,Real Salt Lake,0 - 0,Seattle Sounders FC
07-05-2023,Houston Dynamo,0 - 0,Real Salt Lake
14-05-2023,Real Salt Lake,0 - 3,Los Angeles FC
18-05-2023,Real Salt Lake,0 - 0,Portland Timbers
